#ID;TIME;DOSE;ADDL;II;Y;YTYPE;CENS;CELL LINE;DOSE GROUP;DOSECAT;DRUG;DRUGCAT;EXPERIMENT;BW;YTV;KA;V;KE;w0;I
15;9;2600;1;1;.;.;.;1;100;100;2;2;2;25.9;.;55;1.4135;4.5452;121.104;0.0077169
15;11;2400;2;1;.;.;.;1;100;100;2;2;2;24.3;.;55;1.4135;4.5452;121.104;0.0077169
15;14;2300;1;1;.;.;.;1;100;100;2;2;2;23.1;.;55;1.4135;4.5452;121.104;0.0077169
15;16;2100;.;.;.;.;.;1;100;100;2;2;2;21.1;.;55;1.4135;4.5452;121.104;0.0077169
15;30;.;.;.;537.464;2;.;1;100;100;2;2;2;26;537.464;55;1.4135;4.5452;121.104;0.0077169
15;28;.;.;.;326.095;2;.;1;100;100;2;2;2;26.2;326.095;55;1.4135;4.5452;121.104;0.0077169
15;4;.;.;.;252.05;2;.;1;100;100;2;2;2;26.6;252.05;55;1.4135;4.5452;121.104;0.0077169
15;25;.;.;.;220.5;2;.;1;100;100;2;2;2;26.3;220.5;55;1.4135;4.5452;121.104;0.0077169
15;2;.;.;.;209.484;2;.;1;100;100;2;2;2;27.7;209.484;55;1.4135;4.5452;121.104;0.0077169
15;7;.;.;.;198.45;2;.;1;100;100;2;2;2;25.8;198.45;55;1.4135;4.5452;121.104;0.0077169
15;23;.;.;.;161.604;2;.;1;100;100;2;2;2;25.7;161.604;55;1.4135;4.5452;121.104;0.0077169
15;9;.;.;.;105.056;2;.;1;100;100;2;2;2;25.9;105.056;55;1.4135;4.5452;121.104;0.0077169
15;11;.;.;.;81.648;2;.;1;100;100;2;2;2;24.3;81.648;55;1.4135;4.5452;121.104;0.0077169
15;21;.;.;.;71.656;2;.;1;100;100;2;2;2;25;71.656;55;1.4135;4.5452;121.104;0.0077169
15;14;.;.;.;38.4;2;.;1;100;100;2;2;2;23.1;38.4;55;1.4135;4.5452;121.104;0.0077169
15;18;.;.;.;38.4;2;.;1;100;100;2;2;2;22.4;38.4;55;1.4135;4.5452;121.104;0.0077169
15;16;.;.;.;27.5625;2;.;1;100;100;2;2;2;21.1;27.5625;55;1.4135;4.5452;121.104;0.0077169
22;0;.;.;.;150.3815;2;.;1;100;100;2;2;2;25.2;.;55;1.3966;2.3789;150.3815;0.0077169
22;3;2600;.;.;.;.;.;1;100;100;2;2;2;25.7;.;55;1.3966;2.3789;150.3815;0.0077169
22;4;2500;2;1;.;.;.;1;100;100;2;2;2;24.7;.;55;1.3966;2.3789;150.3815;0.0077169
22;7;2400;1;1;.;.;.;1;100;100;2;2;2;24;.;55;1.3966;2.3789;150.3815;0.0077169
22;9;2400;1;1;.;.;.;1;100;100;2;2;2;24.4;.;55;1.3966;2.3789;150.3815;0.0077169
22;11;2300;2;1;.;.;.;1;100;100;2;2;2;22.8;.;55;1.3966;2.3789;150.3815;0.0077169
22;14;2200;1;1;.;.;.;1;100;100;2;2;2;22.4;.;55;1.3966;2.3789;150.3815;0.0077169
22;16;2200;.;.;.;.;.;1;100;100;2;2;2;21.6;.;55;1.3966;2.3789;150.3815;0.0077169
22;4;.;.;.;321.048;2;.;1;100;100;2;2;2;24.7;321.048;55;1.3966;2.3789;150.3815;0.0077169
22;2;.;.;.;299.6715;2;.;1;100;100;2;2;2;25.7;299.6715;55;1.3966;2.3789;150.3815;0.0077169
22;30;.;.;.;233.289;2;.;1;100;100;2;2;2;25.4;233.289;55;1.3966;2.3789;150.3815;0.0077169
22;28;.;.;.;194.481;2;.;1;100;100;2;2;2;25.1;194.481;55;1.3966;2.3789;150.3815;0.0077169
22;25;.;.;.;149.916;2;.;1;100;100;2;2;2;23.9;149.916;55;1.3966;2.3789;150.3815;0.0077169
22;7;.;.;.;129.96;2;.;1;100;100;2;2;2;24;129.96;55;1.3966;2.3789;150.3815;0.0077169
22;9;.;.;.;68.479;2;.;1;100;100;2;2;2;24.4;68.479;55;1.3966;2.3789;150.3815;0.0077169
22;23;.;.;.;64.538;2;.;1;100;100;2;2;2;23.4;64.538;55;1.3966;2.3789;150.3815;0.0077169
22;11;.;.;.;50.8475;2;.;1;100;100;2;2;2;22.8;50.8475;55;1.3966;2.3789;150.3815;0.0077169
22;21;.;.;.;30.42;2;.;1;100;100;2;2;2;23.4;30.42;55;1.3966;2.3789;150.3815;0.0077169
