#ID,TIME,DOSE,ADDL,II,Y,YTYPE,CENS,CELL LINE,DOSE GROUP,DRUG,DRUGCAT,EXPERIMENT,BW,YTV,KA,V,KE,w0
155,25,.,.,.,2251.08,2,.,1,0,2,0,2,29.6,2251.08,55,1.11,3.98,105.875
140,30,.,.,.,2122.582,2,.,1,0,2,0,2,24.1,2122.582,55,1.11,3.98,79.3305
140,28,.,.,.,1992.144,2,.,1,0,2,0,2,24.7,1992.144,55,1.11,3.98,79.3305
40,18,.,.,.,1752.192,2,.,1,0,2,0,2,25.4,1752.192,55,1.11,3.98,191.808
155,21,.,.,.,1724.05,2,.,1,0,2,0,2,28.9,1724.05,55,1.11,3.98,105.875
95,18,.,.,.,1675.872,2,.,1,0,2,0,2,23.3,1675.872,55,1.11,3.98,186.2
40,16,.,.,.,1669.248,2,.,1,0,2,0,2,26,1669.248,55,1.11,3.98,191.808
155,23,.,.,.,1637.784,2,.,1,0,2,0,2,28.5,1637.784,55,1.11,3.98,105.875
155,18,.,.,.,1516.6985,2,.,1,0,2,0,2,28,1516.6985,55,1.11,3.98,105.875
155,16,.,.,.,1494.954,2,.,1,0,2,0,2,29,1494.954,55,1.11,3.98,105.875
40,14,.,.,.,1470.432,2,.,1,0,2,0,2,26.4,1470.432,55,1.11,3.98,191.808
136,30,.,.,.,1459.3425,2,.,1,0,2,0,2,24.2,1459.3425,55,1.11,3.98,118.5885
136,28,.,.,.,1132.88,2,.,1,0,2,0,2,24.6,1132.88,55,1.11,3.98,118.5885
95,16,.,.,.,1131.184,2,.,1,0,2,0,2,23.3,1131.184,55,1.11,3.98,186.2
40,11,.,.,.,1119.258,2,.,1,0,2,0,2,26,1119.258,55,1.11,3.98,191.808
136,25,.,.,.,1104.558,2,.,1,0,2,0,2,24.7,1104.558,55,1.11,3.98,118.5885
140,25,.,.,.,1097.675,2,.,1,0,2,0,2,24.8,1097.675,55,1.11,3.98,79.3305
95,14,.,.,.,919.6,2,.,1,0,2,0,2,23.6,919.6,55,1.11,3.98,186.2
40,9,.,.,.,915.008,2,.,1,0,2,0,2,27.1,915.008,55,1.11,3.98,191.808
140,23,.,.,.,857.304,2,.,1,0,2,0,2,23.7,857.304,55,1.11,3.98,79.3305
136,23,.,.,.,852.9505,2,.,1,0,2,0,2,23.7,852.9505,55,1.11,3.98,118.5885
155,14,.,.,.,816.48,2,.,1,0,2,0,2,28.6,816.48,55,1.11,3.98,105.875
140,21,.,.,.,808.992,2,.,1,0,2,0,2,23.3,808.992,55,1.11,3.98,79.3305
136,21,.,.,.,787.32,2,.,1,0,2,0,2,24,787.32,55,1.11,3.98,118.5885
169,30,.,.,.,746.9865,2,.,1,0,2,0,2,28,746.9865,55,1.11,3.98,123.008
95,11,.,.,.,730.08,2,.,1,0,2,0,2,22.7,730.08,55,1.11,3.98,186.2
155,11,.,.,.,730.08,2,.,1,0,2,0,2,27.9,730.08,55,1.11,3.98,105.875
95,9,.,.,.,724.672,2,.,1,0,2,0,2,24.1,724.672,55,1.11,3.98,186.2
136,18,.,.,.,721.287,2,.,1,0,2,0,2,23,721.287,55,1.11,3.98,118.5885
169,28,.,.,.,714.618,2,.,1,0,2,0,2,27.5,714.618,55,1.11,3.98,123.008
155,9,.,.,.,692.224,2,.,1,0,2,0,2,28.7,692.224,55,1.11,3.98,105.875
40,7,.,.,.,668.367,2,.,1,0,2,0,2,26.5,668.367,55,1.11,3.98,191.808
136,16,.,.,.,651.688,2,.,1,0,2,0,2,23.9,651.688,55,1.11,3.98,118.5885
155,7,.,.,.,648.96,2,.,1,0,2,0,2,28.2,648.96,55,1.11,3.98,105.875
169,25,.,.,.,635.4195,2,.,1,0,2,0,2,28.6,635.4195,55,1.11,3.98,123.008
95,7,.,.,.,624.26,2,.,1,0,2,0,2,23.6,624.26,55,1.11,3.98,186.2
170,30,.,.,.,620.6265,2,.,1,0,2,0,2,27.5,620.6265,55,1.11,3.98,80.0565
94,30,.,.,.,576.24,2,.,1,0,2,0,2,19.2,576.24,55,1.11,3.98,77.2475
170,28,.,.,.,566.1555,2,.,1,0,2,0,2,28.5,566.1555,55,1.11,3.98,80.0565
140,18,.,.,.,556.668,2,.,1,0,2,0,2,23.8,556.668,55,1.11,3.98,79.3305
94,28,.,.,.,555.131,2,.,1,0,2,0,2,20,555.131,55,1.11,3.98,77.2475
169,23,.,.,.,539.055,2,.,1,0,2,0,2,27.4,539.055,55,1.11,3.98,123.008
