#ID,TIME in day,DOSE in mg,PLASMA CONCENTRATION in mg/L,TUMOUR VOLUME in cm^3,BODY WEIGHT in g
139,13.0,0.1375,,,
139,15.0,0.14375000000000002,,,
161,3.0,0.15625,,,
161,5.0,0.15625,,,
161,6.0,0.15625,,,
161,8.0,0.15625,,,
161,10.0,0.1625,,,
161,12.0,0.15,,,
161,13.0,0.15,,,
161,15.0,0.1625,,,
162,3.0,0.1625,,,
162,5.0,0.15625,,,
162,6.0,0.15625,,,
162,8.0,0.15,,,
162,10.0,0.15625,,,
162,12.0,0.14375000000000002,,,
162,13.0,0.14375000000000002,,,
162,15.0,0.15,,,
