ID,Time,Time unit,Biomarker,Measurement,Biomarker unit
169,11,d,Body weight,26.6,g
140,11,d,Body weight,23.5,g
94,11,d,Body weight,17.9,g
136,11,d,Body weight,22.9,g
155,11,d,Body weight,27.9,g
95,11,d,Body weight,22.7,g
170,11,d,Body weight,28.6,g
40,11,d,Body weight,26.0,g
155,14,d,Body weight,28.6,g
170,14,d,Body weight,29.5,g
169,14,d,Body weight,28.0,g
136,14,d,Body weight,24.1,g
95,14,d,Body weight,23.6,g
40,14,d,Body weight,26.4,g
94,14,d,Body weight,18.4,g
140,14,d,Body weight,24.8,g
170,16,d,Body weight,28.9,g
169,16,d,Body weight,27.6,g
94,16,d,Body weight,18.2,g
40,16,d,Body weight,26.0,g
136,16,d,Body weight,23.9,g
95,16,d,Body weight,23.3,g
155,16,d,Body weight,29.0,g
140,16,d,Body weight,24.3,g
40,18,d,Body weight,25.4,g
170,18,d,Body weight,26.8,g
140,18,d,Body weight,23.8,g
136,18,d,Body weight,23.0,g
95,18,d,Body weight,23.3,g
94,18,d,Body weight,18.7,g
169,18,d,Body weight,26.6,g
155,18,d,Body weight,28.0,g
169,21,d,Body weight,27.9,g
95,21,d,Body weight,23.3,g
136,21,d,Body weight,24.0,g
170,21,d,Body weight,28.7,g
40,21,d,Body weight,26.2,g
94,21,d,Body weight,20.0,g
140,21,d,Body weight,23.3,g
155,21,d,Body weight,28.9,g
155,23,d,Body weight,28.5,g
140,23,d,Body weight,23.7,g
136,23,d,Body weight,23.7,g
94,23,d,Body weight,20.2,g
170,23,d,Body weight,27.3,g
169,23,d,Body weight,27.4,g
155,25,d,Body weight,29.6,g
94,25,d,Body weight,20.3,g
169,25,d,Body weight,28.6,g
140,25,d,Body weight,24.8,g
136,25,d,Body weight,24.7,g
170,25,d,Body weight,28.7,g
170,28,d,Body weight,28.5,g
140,28,d,Body weight,24.7,g
169,28,d,Body weight,27.5,g
136,28,d,Body weight,24.6,g
94,28,d,Body weight,20.0,g
136,30,d,Body weight,24.2,g
94,30,d,Body weight,19.2,g
169,30,d,Body weight,28.0,g
140,30,d,Body weight,24.1,g
170,30,d,Body weight,27.5,g
