#ID;TIME;DOSE;ADDL;II;Y;YTYPE;CENS;CELL LINE;DOSE GROUP;DRUG;EXPERIMENT;TUMOR SIZE;BW
134;9;.;.;.;.;.;.;1;100;1;2;67.228;20.3
134;11;.;.;.;.;.;.;1;100;1;2;57.6;20.3
134;14;.;.;.;.;.;.;1;100;1;2;151.552;22.8
134;14;2300;1;1;.;.;.;1;100;1;2;151.552;22.8
134;14.10486111;.;.;.;5980;1;.;1;100;1;2;151.552;22.8
134;16;.;.;.;.;.;.;1;100;1;2;142.228;21
134;16;2100;.;.;.;.;.;1;100;1;2;142.228;21
134;18;.;.;.;.;.;.;1;100;1;2;109.6515;20
134;21;.;.;.;.;.;.;1;100;1;2;109.6515;22.9
134;23;.;.;.;.;.;.;1;100;1;2;183.9965;23.2
134;25;.;.;.;.;.;.;1;100;1;2;242.592;24.5
134;28;.;.;.;.;.;.;1;100;1;2;300.8;23.8
134;30;.;.;.;.;.;.;1;100;1;2;342.216;24.1
34;0;.;.;.;.;.;.;1;25;1;2;165.292;27.7
34;2;.;.;.;.;.;.;1;25;1;2;217.328;26.9
34;3;675;.;.;.;.;.;1;25;1;2;217.328;26.9
34;4;.;.;.;.;.;.;1;25;1;2;292.5;28
34;4;700;2;1;.;.;.;1;25;1;2;292.5;28
34;7;.;.;.;.;.;.;1;25;1;2;389.2285;27.7
34;7;700;1;1;.;.;.;1;25;1;2;389.2285;27.7
34;9;.;.;.;.;.;.;1;25;1;2;396.1175;27.9
34;9;700;1;1;.;.;.;1;25;1;2;396.1175;27.9
34;10.01875;.;.;.;3500;1;.;1;25;1;2;396.1175;27.9
34;11;.;.;.;.;.;.;1;25;1;2;571.392;26.6
34;11;675;2;1;.;.;.;1;25;1;2;571.392;26.6
34;14;.;.;.;.;.;.;1;25;1;2;595.448;27.2
34;14;675;1;1;.;.;.;1;25;1;2;595.448;27.2
34;15.99375;.;.;.;0.952;1;1;1;25;1;2;595.448;27.1
34;16;.;.;.;.;.;.;1;25;1;2;633.864;27.1
34;16;675;.;.;.;.;.;1;25;1;2;633.864;27.1
34;18;.;.;.;.;.;.;1;25;1;2;814.61;27
34;21;.;.;.;.;.;.;1;25;1;2;1064.6125;27
34;23;.;.;.;.;.;.;1;25;1;2;1196.6045;26.9
34;25;.;.;.;.;.;.;1;25;1;2;1368.464;26.4
34;28;.;.;.;.;.;.;1;25;1;2;1521;26.2
34;30;.;.;.;.;.;.;1;25;1;2;1618.5435;27
52;0;.;.;.;.;.;.;1;25;1;2;205.35;24.5
52;2;.;.;.;.;.;.;1;25;1;2;191.808;26.2
52;3;650;.;.;.;.;.;1;25;1;2;191.808;26.2
52;4;.;.;.;.;.;.;1;25;1;2;278.8425;25.2
52;4;625;2;1;.;.;.;1;25;1;2;278.8425;25.2
52;7;.;.;.;.;.;.;1;25;1;2;301.806;25.8
52;7;650;1;1;.;.;.;1;25;1;2;301.806;25.8
52;9;.;.;.;.;.;.;1;25;1;2;379.456;25.9
52;9;650;1;1;.;.;.;1;25;1;2;379.456;25.9
52;9.995833333;.;.;.;8.06;1;.;1;25;1;2;379.456;25.9
52;11;.;.;.;.;.;.;1;25;1;2;520;24.9
52;11;625;2;1;.;.;.;1;25;1;2;520;24.9
52;14;.;.;.;.;.;.;1;25;1;2;629.695;25.5
52;14;650;1;1;.;.;.;1;25;1;2;629.695;25.5
52;16;.;.;.;.;.;.;1;25;1;2;746.496;26.4
52;16;650;.;.;.;.;.;1;25;1;2;746.496;26.4
52;16.99930556;.;.;.;0.952;1;1;1;25;1;2;746.496;26.4
52;18;.;.;.;.;.;.;1;25;1;2;831.744;25.6
52;21;.;.;.;.;.;.;1;25;1;2;939.87;26.8
52;23;.;.;.;.;.;.;1;25;1;2;1078.125;26.7
52;25;.;.;.;.;.;.;1;25;1;2;1130.496;27.6
52;28;.;.;.;.;.;.;1;25;1;2;1228.392;27.9
52;30;.;.;.;.;.;.;1;25;1;2;1379.742;27
91;0;.;.;.;.;.;.;1;25;1;2;128.3745;26.1
91;2;.;.;.;.;.;.;1;25;1;2;135.8165;25.4
91;3;625;.;.;.;.;.;1;25;1;2;135.8165;25.4
91;4;.;.;.;.;.;.;1;25;1;2;222.912;25
91;4;625;2;1;.;.;.;1;25;1;2;222.912;25
91;7;.;.;.;.;.;.;1;25;1;2;204.768;26.4
91;7;650;1;1;.;.;.;1;25;1;2;204.768;26.4
91;9;.;.;.;.;.;.;1;25;1;2;243.089;26.5
91;9;675;1;1;.;.;.;1;25;1;2;243.089;26.5
91;10.04375;.;.;.;4340;1;.;1;25;1;2;243.089;26.5
91;11;.;.;.;.;.;.;1;25;1;2;294.4;25.1
91;11;625;2;1;.;.;.;1;25;1;2;294.4;25.1
91;14;.;.;.;.;.;.;1;25;1;2;301.806;25.8
91;14;650;1;1;.;.;.;1;25;1;2;301.806;25.8
91;16;.;.;.;.;.;.;1;25;1;2;349.272;26.7
91;16;675;.;.;.;.;.;1;25;1;2;349.272;26.7
91;16.10277778;.;.;.;1970;1;.;1;25;1;2;349.272;26.7
91;18;.;.;.;.;.;.;1;25;1;2;437.382;25.5
91;21;.;.;.;.;.;.;1;25;1;2;562.277;26
91;23;.;.;.;.;.;.;1;25;1;2;794.7045;26.5
91;25;.;.;.;.;.;.;1;25;1;2;958.9855;25.2
91;28;.;.;.;.;.;.;1;25;1;2;1182.762;25.1
91;30;.;.;.;.;.;.;1;25;1;2;1201.6105;25
108;0;.;.;.;.;.;.;1;25;1;2;87.808;25.8
108;2;.;.;.;.;.;.;1;25;1;2;107.911;26.1
108;3;650;.;.;.;.;.;1;25;1;2;107.911;26.1
108;4;.;.;.;.;.;.;1;25;1;2;192.8205;25.1
108;4;625;2;1;.;.;.;1;25;1;2;192.8205;25.1
108;7;.;.;.;.;.;.;1;25;1;2;185.679;25.3
108;7;625;1;1;.;.;.;1;25;1;2;185.679;25.3
108;9;.;.;.;.;.;.;1;25;1;2;197.5815;25.1
108;9;625;1;1;.;.;.;1;25;1;2;197.5815;25.1
108;10.01041667;.;.;.;2380;1;.;1;25;1;2;197.5815;25.1
108;11;.;.;.;.;.;.;1;25;1;2;281.6;24.7
108;11;625;2;1;.;.;.;1;25;1;2;281.6;24.7
108;14;.;.;.;.;.;.;1;25;1;2;320.3385;27.1
108;14;675;1;1;.;.;.;1;25;1;2;320.3385;27.1
108;16;.;.;.;.;.;.;1;25;1;2;467.046;27.1
108;16;675;.;.;.;.;.;1;25;1;2;467.046;27.1
108;16.41666667;.;.;.;326;1;.;1;25;1;2;467.046;27.1
108;18;.;.;.;.;.;.;1;25;1;2;491.8625;24.8
108;21;.;.;.;.;.;.;1;25;1;2;505.4;25.3
108;23;.;.;.;.;.;.;1;25;1;2;768.35;24.6
108;25;.;.;.;.;.;.;1;25;1;2;912.525;22
